Text,Class,PureText,ConEmoji,Emojis,Con_emoji_meanings
   ඝරසරප චිත්‍රපටය පහළ තියෙන එකෙන් කරගන්න     ,Neutral,   ඝරසරප චිත්‍රපටය පහළ තියෙන එකෙන් කරගන්න     ,,,
  මොකක් හරි නාට්‍යයක් තියෙන්නත් එපැයි ,Neutral,  මොකක් හරි නාට්‍යයක් තියෙන්නත් එපැයි ඉතින් ,,,
     කිමද තරම් කොහේදෝ විදපු ගලක් උරන මා මිතුරු පරය ,Neutral,     කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය ,,,
     එහෙම කොහොමද උනේ  😂  පරය අපිව අයින් කරල නේ  😂,Neutral,     එහෙම කොහොමද උනේ    පරය අපිව අයින් කරල නේ  ,😂 😂,😂 😂,face tears joy face tears joy
 විමලයා ගොනෙක් වගෙ එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා ,Political, විමලයා ගොනෙක් වගෙ එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා ,,,
    ලැජ්ජයි ස⁣හෝදරයා විදිහ දැක්කාම ඔබලාගේ කුලල්කෑම වාසි ගන්නේ තම්බි වහබ්වාදීන් දෙමළ බෙදුම්වාදීන් ,Racist,    ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන් ,,,
  ලැජ්ජයි ස⁣හෝදරයා විදිහ දැක්කාම ඔබලාගේ කුලල්කෑම වාසි ගන්නේ තම්බි වහබ්වාදීන් දෙමළ බෙදුම්වාදීන් ,Racist,  ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන් ,,,
    මං තම්බි වගේද පෙන්නෙ 😏  මං බ්‍රහස්පතින්දා ගෙදර එන්නෙඑතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම් 😅,Neutral,    ඇයි මං තම්බි වගේද පෙන්නෙ   මං බ්‍රහස්පතින්දා ගෙදර එන්නෙඑතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම් ,😏 😅,😏 😅,smirking face grinning face sweat
   ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ් ,Racist,   ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ් ,,,
    පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ එහෙම ඉදගෙන උන්ගේ ශරියාව උන්ගේ බෝවීම ස්ථාවර කරගන්නවා උන්ගේ ටාගට් එක රටේ බහුතර… ,Racist,    පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා උන්ගේ ටාගට් එක රටේ බහුතර… ,,,
